2008-04-01 //// //// ////
2009-05-01 0 0 0
2009-05-02 0 0 0
2009-05-03 0 0 0
2009-05-04 0 0 0
2009-05-05 0 0 0
2009-05-06 0 0 0
2009-05-07 0 0 0
2009-05-08 0 0 0
2009-05-09 0 0 0
2009-05-10 250 24 274
2009-05-11 204 31 235
2009-05-12 15 0 15
2009-05-13 0 5 5
2009-05-14 4 190 194
2009-05-15 193 64 257
2009-05-16 0 0 0
2009-05-17 //// //// ////
2009-05-18 //// 0000 ////
2009-05-19 //// //// ////
2009-05-20 470 0 470
2009-05-21 //// //// ////
2009-05-22 0456 //// 0456
2009-05-23 475 0 475
2009-05-24 0 0 0
2009-05-25 2 1 3
2009-05-26 0000 //// ////
2009-05-27 //// 0480 0480
2009-05-28 1 1 2
2009-05-29 0001 //// 0001
2009-05-30 //// //// ////
2009-05-31 0000 //// ////
2009-06-01 0000 //// ////
2009-06-02 0000 //// ////
2009-06-03 0000 //// ////
2009-06-04 0000 //// ////
2009-06-05 0000 //// ////
2009-06-06 0482 //// 0482
2009-06-07 0508 //// 0508
2009-06-08 //// 0017 0017
2009-06-09 //// //// ////
2009-06-10 //// //// ////
2009-06-11 //// //// ////
2009-06-12 0570 //// 0570
2009-06-13 0591 //// 0591
2009-06-14 //// //// ////
2009-06-15 //// //// ////
2009-06-16 0000 //// ////
2009-06-17 0002 //// 0002
2009-06-18 48 1 49
2009-06-19 0512 //// 0512
2009-06-20 0000 //// ////
2009-06-21 0000 //// ////
2009-06-22 0000 //// ////
2009-06-23 0000 //// ////
2009-06-24 0000 //// ////
2009-06-25 0440 //// 0440
2009-06-26 0000 //// ////
2009-06-27 0000 //// ////
2009-06-28 0 2 2
2009-06-29 0000 //// ////
2009-06-30 //// //// ////
2009-07-01 0 0 0
2009-07-02 0 0 0
2009-07-03 0 0 0
2009-07-04 0 0 0
2009-07-05 0 0 0
2009-07-06 0 0 0
2009-07-07 0 31 31
2009-07-08 5 0 5
2009-07-09 3 0 3
2009-07-10 0 26 26
2009-07-11 154 7 161
2009-07-12 0 0 0
