2009-05-28 137 60 197
2009-05-29 0 0 0
2009-05-30 0 0 0
2009-05-31 0 0 0
2009-06-01 //// //// ////
2009-06-02 0000 //// ////
2009-06-03 0000 //// ////
2009-06-04 0000 //// ////
2009-06-05 0000 //// ////
2009-06-06 //// //// ////
2009-06-07 //// //// ////
2009-06-08 114 6 120
2009-06-09 //// 0001 0001
2009-06-10 //// //// ////
2009-06-11 //// //// ////
2009-06-12 //// //// ////
2009-06-13 //// //// ////
2009-06-14 //// //// ////
2009-06-15 2 1 3
2009-06-16 0000 //// ////
2009-06-17 16 109 125
2009-06-18 0182 //// 0182
2009-06-19 82 1 83
2009-06-20 0 1 1
2009-06-21 0000 //// ////
2009-06-22 0000 //// ////
2009-06-23 0000 //// ////
2009-06-24 0000 //// ////
2009-06-25 //// //// ////
2009-06-26 0000 //// ////
2009-06-27 0000 //// ////
2009-06-28 0 32 32
2009-06-29 2 1 3
2009-06-30 //// //// ////
2009-07-01 0 0 0
2009-07-02 0 0 0
2009-07-03 0 0 0
2009-07-04 0 0 0
2009-07-05 0 0 0
2009-07-06 2 1 3
2009-07-07 36 10 46
2009-07-08 0000 //// ////
2009-07-09 0001 //// 0001
2009-07-10 0 81 81
2009-07-11 285 10 295
2009-07-12 0001 //// 0001
2009-07-13 19 116 135
2009-07-14 0 0 0
2009-07-15 0 0 0
2009-07-16 0 0 0
2009-07-17 0 0 0
2009-07-18 0 0 0
2009-07-19 0 1 1
2009-07-20 0 0 0
2009-07-21 83 6 89
2009-07-22 79 36 115
2009-07-23 0003 //// 0003
2009-07-24 0 0 0
2009-07-25 0 0 0
2009-07-26 0 0 0
2009-07-27 0 0 0
2009-07-28 0 0 0
2009-07-29 0 0 0
2009-07-30 0 0 0
2009-07-31 1 1 2
2009-08-01 0 0 0
2009-08-02 0 19 19
2009-08-03 0 128 128
2009-08-04 9 2 11
2009-08-05 41 11 52
2009-08-06 1 0 1
2009-08-07 0 19 19
2009-08-08 0 9 9
2009-08-09 1 0 1
2009-08-10 1 0 1
2009-08-11 0 0 0
2009-08-12 0 0 0
2009-08-13 0 0 0
2009-08-14 0 0 0
2009-08-15 0 0 0
2009-08-16 0 0 0
2009-08-17 103 1 104
2009-08-18 4 1 5
2009-08-19 1 0 1
2009-08-20 0 0 0
2009-08-21 1 7 8
2009-08-22 46 50 96
2009-08-23 0 1 1
2009-08-24 0 0 0
2009-08-25 0 0 0
2009-08-26 0 0 0
2009-08-27 0 0 0
2009-08-28 0 0 0
2009-08-29 398 50 448
2009-08-30 1 0 1
2009-08-31 0 0 0
2009-09-01 0 0 0
2009-09-02 0 0 0
2009-09-03 0 0 0
2009-09-04 0 0 0
2009-09-05 0 0 0
2009-09-06 0 0 0
2009-09-07 0 6 6
2009-09-08 0 0 0
2009-09-09 0001 //// 0001
2009-09-10 //// 0001 0001
2009-09-11 0 0 0
2009-09-12 0001 //// 0001
2009-09-13 16 27 43
2009-09-14 85 32 117
2009-09-15 1 1 2
2009-09-16 0 0 0
2009-09-17 0001 //// 0001
2009-09-18 0 0 0
2009-09-19 13 147 160
2009-09-20 102 7 109
2009-09-21 0 0 0
2009-09-22 0001 //// 0001
2009-09-23 0 0 0
2009-09-24 6 141 147
2009-09-25 //// 0001 0001
2009-09-26 0 0 0
2009-09-27 0 0 0
2009-09-28 0 6 6
2009-09-29 0001 //// 0001
2009-09-30 0 0 0
2009-10-01 0 0 0
2009-10-02 0 0 0
2009-10-03 0 0 0
2009-10-04 0 0 0
2009-10-05 0 0 0
2009-10-06 0 0 0
2009-10-07 0 0 0
2009-10-08 0002 //// 0002
2009-10-09 11 24 35
2009-10-10 30 92 122
2009-10-11 30 11 41
2009-10-12 9 1 10
2009-10-13 0 0 0
2009-10-14 0 0 0
2009-10-15 0 0 0
2009-10-16 0 0 0
2009-10-17 0 0 0
2009-10-18 0 0 0
2009-10-19 0 0 0
2009-10-20 0 0 0
2009-10-21 0 0 0
2009-10-22 0 0 0
2009-10-23 0 0 0
2009-10-24 0 0 0
2009-10-25 0 0 0
2009-10-26 0 0 0
2009-10-27 0 0 0
2009-10-28 0 0 0
2009-10-29 0 0 0
2009-10-30 0 0 0
2009-10-31 236 3 239
2010-04-01 44 0 44
2010-04-02 0 0 0
2010-04-03 //// //// ////
2010-04-04 0 0 0
2010-04-05 0 0 0
2010-04-06 0 0 0
2010-04-07 0 0 0
2010-04-08 0000 //// ////
2010-04-09 //// 0000 ////
2010-04-10 0 4 4
2010-04-11 11 10 21
2010-04-12 3 1 4
2010-04-13 0 0 0
2010-04-14 5 78 83
2010-04-15 0 0 0
2010-04-16 0 0 0
2010-04-17 0 0 0
2010-04-18 46 0 46
2010-04-19 0 0 0
2010-04-20 3 364 367
2010-04-21 502 26 528
2010-04-22 0 0 0
2010-04-23 0 0 0
2010-04-24 //// 0000 ////
2010-04-25 1 9 10
2010-04-26 0 0 0
2010-04-27 0 0 0
2010-04-28 0 0 0
2010-04-29 0 0 0
2010-04-30 0 0 0
2010-05-01 0 0 0
2010-05-02 0 0 0
2010-05-03 0000 //// ////
2010-05-04 42 28 70
2010-05-05 0001 //// 0001
2010-05-06 0 0 0
2010-05-07 0 0 0
2010-05-08 0 0 0
2010-05-09 0 0 0
2010-05-10 0 0 0
2010-05-11 0 0 0
2010-05-12 0 111 111
2010-05-13 71 16 87
2010-05-14 1 0 1
2010-05-15 0 0 0
2010-05-16 0 77 77
2010-05-17 0021 //// 0021
2010-05-18 1 0 1
2010-05-19 0 0 0
2010-05-20 0 0 0
2010-05-21 44 131 175
2010-05-22 64 1 65
2010-05-23 0 0 0
2010-05-24 0000 //// ////
2010-05-25 0000 //// ////
2010-05-26 0 33 33
2010-05-27 62 208 270
2010-05-28 0017 //// 0017
2010-05-29 //// //// ////
2010-05-30 //// //// ////
2010-05-31 0000 //// ////
2010-06-01 0157 //// 0157
2010-06-02 0000 //// ////
2010-06-03 0 61 61
2010-06-04 0 8 8
2010-06-05 0000 //// ////
2010-06-06 0000 //// ////
2010-06-07 0 82 82
2010-06-08 149 101 250
2010-06-09 144 4 148
2010-06-10 0000 //// ////
2010-06-11 0000 //// ////
2010-06-12 0000 //// ////
2010-06-13 0000 //// ////
2010-06-14 0000 //// ////
2010-06-15 0000 //// ////
2010-06-16 0000 //// ////
2010-06-17 //// //// ////
2010-06-18 0000 //// ////
2010-06-19 0000 //// ////
2010-06-20 //// //// ////
2010-06-21 0000 //// ////
2010-06-22 0000 //// ////
2010-06-23 //// //// ////
2010-06-24 0000 //// ////
2010-06-25 0000 //// ////
2010-06-26 0000 //// ////
2010-06-27 0000 //// ////
2010-06-28 0000 //// ////
2010-06-29 0000 //// ////
2010-06-30 0000 //// ////
2010-07-01 0 92 92
2010-07-02 164 2 166
2010-07-03 893 24 917
2010-07-04 0000 //// ////
2010-07-05 0000 //// ////
2010-07-06 0000 //// ////
2010-07-07 0000 //// ////
2010-07-08 45 77 122
2010-07-09 0001 //// 0001
2010-07-10 234 11 245
2010-07-11 0000 //// ////
2010-07-12 0000 //// ////
2010-07-13 0000 //// ////
2010-07-14 0000 //// ////
2010-07-15 0 109 109
2010-07-16 89 12 101
2010-07-17 1 398 399
2010-07-18 37 64 101
2010-07-19 644 7 651
2010-07-20 0000 //// ////
2010-07-21 0000 //// ////
2010-07-22 0000 //// ////
2010-07-23 90 250 340
2010-07-24 364 431 795
2010-07-25 //// //// ////
2010-07-26 1 32 33
2010-07-27 //// 0123 0123
2010-07-28 0 2 2
2010-07-29 0001 //// 0001
2010-07-30 0000 //// ////
2010-07-31 //// 0004 0004
2010-08-01 1 1 2
2010-08-02 111 15 126
2010-08-03 0000 //// ////
2010-08-04 0000 //// ////
2010-08-05 0001 //// 0001
2010-08-06 0000 //// ////
2010-08-07 0000 //// ////
2010-08-08 //// //// ////
2010-08-09 0 76 76
2010-08-10 1 2 3
2010-08-11 0016 //// 0016
2010-08-12 0000 //// ////
2010-08-13 0 2 2
2010-08-14 6 30 36
2010-08-15 0000 //// ////
2010-08-16 0000 //// ////
2010-08-17 0000 //// ////
2010-08-18 0000 //// ////
2010-08-19 319 131 450
2010-08-20 63 185 248
2010-08-21 14 600 614
2010-08-22 53 4 57
2010-08-23 15 79 94
2010-08-24 265 248 513
2010-08-25 308 62 370
2010-08-26 3 1 4
2010-08-27 0 1 1
2010-08-28 //// //// ////
2010-08-29 0000 //// ////
2010-08-30 0000 //// ////
2010-08-31 //// //// ////
2010-09-01 0000 //// ////
2010-09-02 0000 //// ////
2010-09-03 //// //// ////
2010-09-04 0000 //// ////
2010-09-05 0 378 378
2010-09-06 41 360 401
2010-09-07 70 6 76
2010-09-08 0001 //// 0001
2010-09-09 2 67 69
2010-09-10 11 1 12
2010-09-11 0000 //// ////
2010-09-12 0000 //// ////
2010-09-13 0000 //// ////
2010-09-14 0000 //// ////
2010-09-15 0000 //// ////
2010-09-16 0000 //// ////
2010-09-17 0000 //// ////
2010-09-18 0000 //// ////
2010-09-19 0000 //// ////
2010-09-20 0000 //// ////
2010-09-21 0 3 3
2010-09-22 0000 //// ////
2010-09-23 0000 //// ////
2010-09-24 0 97 97
2010-09-25 23 3 26
2010-09-26 0001 //// 0001
2010-09-27 0000 //// ////
2010-09-28 0 18 18
2010-09-29 0010 //// 0010
2010-09-30 0000 //// ////
2010-10-01 0 2 2
2010-10-02 0004 //// 0004
2010-10-03 //// //// ////
2010-10-04 //// //// ////
2010-10-05 //// //// ////
2010-10-06 //// //// ////
2010-10-07 //// //// ////
2010-10-08 //// //// ////
2010-10-09 //// //// ////
2010-10-10 //// //// ////
2010-10-11 //// //// ////
2010-10-12 //// //// ////
2010-10-13 //// //// ////
2010-10-14 0000 //// ////
2010-10-15 //// //// ////
2010-10-16 //// //// ////
2010-10-17 0 21 21
2010-10-18 0001 //// 0001
2010-10-19 //// //// ////
2010-10-20 //// //// ////
2010-10-21 //// //// ////
2010-10-22 0000 //// ////
2010-10-23 0000 //// ////
2010-10-24 0000 //// ////
2010-10-25 38 5 43
2010-10-26 7 13 20
2010-10-27 0016 //// 0016
2010-10-28 0000 //// ////
2010-10-29 0000 //// ////
2010-10-30 0000 //// ////
2010-10-31 0000 //// ////
2011-04-01 0 0 0
2011-04-02 32 32 64
2011-04-03 1 0 1
2011-04-04 0 0 0
2011-04-05 0 0 0
2011-04-06 0 0 0
2011-04-07 //// 0000 ////
2011-04-08 0 0 0
2011-04-09 0 0 0
2011-04-10 0 0 0
2011-04-11 0000 //// ////
2011-04-12 0 0 0
2011-04-13 0 0 0
2011-04-14 0 0 0
2011-04-15 0 0 0
2011-04-16 0 0 0
2011-04-17 0 0 0
2011-04-18 0 0 0
