O2220 3418N 11233E 002941 002941 105 000 S15 91999999919999199999 0 2009 01
P=
TB
-039 -064 -062 -071 -080 -092 -091 -087 -094 -108 -106 -103
-044 -020 0004 0023 0025 0039 0035 0026 0007 -026 -030 -038 0042 1401 -114 0614.
-031 -035 -043 -039 -041 -058 -066 -063 -062 -071 -065 -061
-025 -007 0008 0021 0031 0039 0032 0030 0020 0010 0013 0009 0044 1527 -077 0738.
0006 0005 0002 0000 0001 -001 -002 -002 -004 -004 -006 -010
0002 0018 0015 0021 0031 0028 0034 0031 0020 -010 -020 -034 0038 1503 -038 1954.
-030 -037 -038 -033 -031 -034 -024 -024 -022 -020 -019 -020
-012 0006 0017 0026 0028 0030 0029 0026 0012 -016 -019 -032 0037 1232 -045 2238.
-033 -045 -012 -010 -009 -020 -017 -023 -030 -029 -032 -032
-021 -010 0007 0024 0025 0025 0027 0023 0020 0013 0012 0007 0029 1220 -048 2203.
0005 -003 -005 -013 -015 -020 -031 -045 -048 -038 -040 -040
-027 -004 0013 0034 0051 0052 0059 0060 0045 0024 0019 -004 0061 1453 -049 0454.
-004 -021 -032 -047 -059 -051 -032 -030 -050 -044 -052 -042
-016 0004 0027 0043 0053 0068 0071 0066 0050 0013 -004 -022 0075 1413 -063 0157.
-014 -024 -039 -053 -046 -064 -040 -050 -036 -040 -033 -036
-002 0041 0057 0066 0071 0077 0069 0061 0047 0032 0020 0015 0078 1359 -069 0219.
0003 -005 -011 -016 -031 -032 -049 -051 -052 -052 -051 -050
-010 0015 0032 0045 0052 0057 0057 0048 0034 0014 -008 -030 0060 1346 -064 0412.
-054 -067 -066 -075 -082 -074 -089 -103 -112 -098 -113 -084
-035 0003 0037 0046 0064 0068 0072 0072 0054 0026 0006 -006 0077 1522 -124 0714.
-007 -029 -032 -018 -021 -028 -022 -011 -029 -028 -038 -030
0005 0031 0049 0059 0061 0055 0052 0050 0027 -001 -021 -035 0063 1213 -047 0723.
-059 -066 -056 -068 -085 -079 -086 -081 -095 -100 -085 -065
-018 0000 0013 0024 0033 0035 0034 0026 0014 -004 -026 -020 0039 1450 -120 0517.
-033 -042 -042 -061 -059 -063 -064 -060 -069 -075 -069 -081
-018 0006 0031 0056 0078 0093 0096 0086 0073 0036 0029 -009 0099 1509 -085 0749.
-029 -022 -032 -037 -033 -011 -029 -030 -051 -058 -057 -072
-014 0015 0031 0048 0051 0056 0050 0042 0027 -002 -024 -037 0058 1442 -083 0739.
-046 -049 -054 -066 -070 -079 -060 -085 -066 -083 -097 -097
-038 -019 0000 0022 0035 0042 0052 0051 0034 0013 -005 -016 0058 1455 -104 0721.
-013 -034 -028 -017 -031 -031 -032 -041 -045 -045 -063 -040
-002 0042 0060 0069 0075 0085 0092 0092 0066 0028 -004 -013 0098 1449 -065 0649.
-026 -038 -035 -046 -053 -045 -032 -021 -027 -033 -042 -037
-016 -001 0020 0033 0037 0046 0046 0054 0039 0003 0004 -034 0057 1546 -063 0122.
-042 -051 -014 -009 0003 -003 -011 -018 -012 0018 0034 0024
0050 0073 0089 0099 0108 0112 0113 0107 0092 0062 0031 0010 0115 1351 -058 2202.
0026 -026 -029 -030 -021 -044 -040 -020 -032 -009 0003 -001
0020 0025 0036 0021 0022 0029 0034 0034 0034 0018 0008 -011 0039 1105 -057 0137.
-008 -008 -022 -019 -016 -012 -006 -010 -007 -010 -009 -007
0011 0029 0043 0079 0093 0107 0099 0100 0096 0084 0079 0071 0108 1340 -030 2334.
0065 0058 0063 0065 0055 0030 0025 0021 -004 -009 0011 -007
0050 0091 0103 0129 0156 0170 0171 0165 0132 0093 0075 0087 0178 1514 -020 0740.
0071 0069 0051 0054 0049 0041 0044 0029 0000 -018 -017 -010
0043 0084 0090 0094 0091 0088 0077 0069 0055 0040 0021 0012 0104 1230 -022 0702.
0000 -013 -023 -031 -039 -047 -053 -060 -062 -069 -074 -076
-071 -059 -051 -046 -043 -045 -048 -051 -056 -066 -068 -073 0012 2001 -077 0752.
-080 -077 -076 -071 -077 -072 -072 -069 -072 -071 -074 -063
-043 -026 -011 -002 0010 0017 0026 0026 0014 -011 -030 -044 0030 1527 -081 2104.
-051 -067 -076 -079 -088 -084 -093 -082 -083 -075 -062 -067
-042 -011 0025 0067 0075 0077 0079 0063 0055 0040 0023 0028 0085 1458 -095 0256.
0021 0024 0023 0021 0020 0015 0010 0001 -015 -039 -039 -031
0013 0038 0058 0083 0098 0107 0110 0108 0095 0045 0034 0038 0115 1509 -056 0745.
0029 0003 -010 -033 -028 -032 -045 -019 -043 -050 -052 -047
-011 0041 0059 0089 0106 0108 0119 0112 0102 0086 0077 0069 0123 1438 -056 0731.
0065 0055 0050 0055 0055 0045 0029 0026 0016 0026 0003 -005
0033 0042 0052 0057 0070 0085 0092 0089 0080 0067 0062 0051 0098 1448 -024 0741.
0041 0018 0039 0019 0025 0015 0018 0012 0000 -021 -016 -016
0019 0051 0080 0096 0118 0132 0128 0126 0110 0074 0065 0038 0138 1435 -033 0725.
0034 0016 0013 0006 0001 -017 -032 -036 -019 -034 -038 -050
-003 0030 0072 0084 0093 0088 0100 0092 0085 0067 0046 0034 0105 1454 -054 0731.
0031 0038 0035 0028 0005 -006 -018 -025 -032 -016 -024 -028
-016 0000 0016 0019 0023 0030 0031 0031 0037 0030 0008 0005 0042 1627 -037 0410=
I=
E=
U=
N=
H=
C=
V=
R6
0=
0=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
039011 028013 045009 ////// PPC000 PPC000
316014 331015 307029 322023 353024 341015
344017 333029 325028 324023 335025 318026
287017 264008 162015 125010 117032 125025.
145015 146015 162010 PPC002 342011 308007
359018 342009 348025 358018 325033 319026
306039 298094 304127 291120 297141 294107
305133 304124 296120 303073 307066 311064.
323059 325049 317056 324034 356029 335028
338027 306008 340031 342030 357029 339020
350026 318044 351044 315086 308086 312083
317079 302072 306057 288047 289023 003022.
PPC001 342010 318031 333024 207007 295011
252008 349009 220007 111004 PPC000 331012
318007 320015 137012 122034 141042 138043
132051 119048 116042 118038 123033 137034.
175013 212008 094010 319039 342033 343019
353038 012036 352044 351029 347024 326017
348026 346034 339047 340036 329048 024037
035026 321042 325037 350031 123038 123025.
113022 110024 073021 149015 PPC002 340012
016010 290009 051012 012008 335033 309040
312069 303105 305111 309125 307105 314106
316094 307113 314081 310043 327021 305056.
313039 320038 340023 019008 354023 311020
356035 345045 332033 314026 265018 316008
324015 316027 308038 308026 320040 305045
303051 317038 306025 307006 005012 307009.
002013 315021 308026 320034 302029 350043
000026 354022 352017 323016 010007 038008
257010 254020 238014 222015 133023 131032
144038 135044 140040 127034 110034 125037.
131036 131039 123034 124030 125028 116025
125041 126025 148023 145028 142008 119019
147038 145041 141040 148037 139027 139030
134035 143033 145030 041005 105006 319004.
354011 027013 344018 001019 277016 294020
316026 333032 283029 283020 008022 321021
264020 335015 312035 340031 322015 005015
101011 134009 114033 143027 128034 120017.
////// 108015 339010 PPC000 327013 324018
295013 287029 011024 286023 349031 267017
313012 346010 314014 272011 204008 273011
212010 139011 143018 115027 119016 076010.
PPC000 033004 000015 013026 346014 026016
242021 332025 347034 318059 318067 288033
312082 303078 295087 ////// 301097 289094
291090 320065 305034 323030 292010 191014.
021021 PPC000 192008 079013 207013 114008
137019 140024 127017 132010 135018 129014
140034 147041 137042 127028 178016 132013
282017 128005 147005 289010 279009 PPC002.
289007 012012 001008 021012 012008 354011
253015 300014 178010 041014 242019 348024
348044 324044 330040 299066 301065 316079
310074 306065 295067 303062 305057 301043.
302034 301034 326034 317053 334038 339033
259024 257019 262014 020019 252019 287012
314022 330031 315034 331026 267012 302032
272016 142010 133026 120039 119036 110052.
132049 151042 155056 149036 148034 146043
153039 166030 146024 126022 107012 002025
329052 321059 302109 312105 305134 310131
302129 316128 318108 321077 339074 339091.
336096 320083 337099 324087 337100 329086
335104 323072 314084 304108 310125 316133
311145 309135 316136 306131 308136 306140
301149 314134 311136 307107 307111 301067.
307062 294070 285053 296074 307061 297085
297085 298103 305093 298081 302062 293081
292088 305104 303119 306139 303127 298141
305107 303077 317064 321051 330027 310017.
322017 300032 337008 343017 310015 349022
339026 290016 341026 327017 352037 352015
268014 293025 288043 301082 306105 293108
301080 305078 319064 299064 314051 297075.
310068 308076 312069 315076 293068 304054
302059 302063 344018 015010 002017 150008
034004 316018 325023 346034 325032 304048
321029 284030 302014 103027 110034 113038.
127036 147023 142031 125026 128027 146027
114022 145032 051011 PPC000 118021 114018
185015 142033 127031 139030 149040 132053
124057 127061 124070 112075 112076 112067.
117061 132051 141037 134051 118048 146039
146020 145029 146024 148032 149026 132023
153021 146021 125026 131023 144016 141011
202012 127022 135015 119021 123030 119021.
209010 046010 356024 316023 321028 308013
280019 323013 306021 126004 323009 024008
349031 320034 310037 329043 308027 304032
328023 330020 001012 102019 117030 107016.
099018 090022 071017 163010 227009 025011
013010 007008 342015 301012 303011 015008
312012 014007 136026 139046 132048 122047
123051 129058 138052 122045 120040 138030.
135032 137030 138022 109015 087013 302019
308021 278003 029007 221009 323010 297019
297013 308024 317016 324028 314023 344015
332017 014006 131023 132024 330022 311019=
048125 1557 062132 1633
051129 1509 068121 1857
045120 2001 058107 2133
034114 2017 040141 1440
031107 2245 038107 2245
057319 1509 073318 1500
038313 1133 049295 1124
158293 1326 188304 1520
095314 1323 129315 1212
055130 1506 070118 1514
052350 1112 071357 1112
128304 1207 179301 1152
059308 1334 082309 1321
051357 0148 063152 1628
044144 1005 056155 1030
041350 0424 051329 1107
033262 0349 040129 1737
119308 1244 153290 1237
045140 1052 059149 1026
095299 1426 126315 1402
068306 2327 076309 2324
143306 1328 181298 1323
156313 0847 199295 1257
155299 1327 204309 1319
113295 1308 138312 1319
091294 2016 104295 2018
078113 1858 101098 1820
071117 2008 079110 2004
044315 1144 054312 1134
059128 1556 078124 1636
035135 2104 043127 2131=
D=
K=
A=
S=
B=
??????
******
YF
O2220
河南省
豫汝阳大安
汝阳县大安工业区
丘陵；地面；村镇
姜发
肖红培
肖红培
肖红培
王国安
肖红培
20090210=
JY
8888=
GK
01/本月平均气温-0.2℃。
05/=
BZ
BB/01/24时气温数据缺测，故用内插求得。
BB/17/21时气温数据缺测，故用内插求得。
BB/18/12时气温数据缺测，故用内插求得。
00/341700/1123200
10/341700/1123200
10/24/24小时连续观测
11/不守班=
######
