O2186 3349N 11127E 008500 008500 105 000 S15 91999999919999199999 0 2010 01
P=
TB
-010 -014 -024 -033 -036 -044 -045 -045 -043 -040 -040 ////
//// //// //// 0144 0150 0151 //// //// //// 0038 0027 0012 0160 1417 -048 0318.
//// //// //// -010 -007 -013 -019 -026 //// //// //// -032
////// 122017 099011 057010 052011 315016.
327018 215008 347011 299020 320012 294006
213013 290016 296022 254010 257009 204008
319016 280026 279027 302031 309022 032030
316015 316026 310022 354015 336013 007015.
141006 130011 311004 219010 213015 321017
238018 265009 292010 268014 231007 224010
239013 282023 268042 272060 279044 275061
////// 001038 342025 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 323039 278034 255028
266024 214036 200044 213034 290026 298024.
279009 064007 189008 269013 279015 292008
233015 231023 215034 225024 228022 262014
227017 ////// ////// ////// ////// //////
283027 270023 020009 285012 289025 274012.
231013 234010 234019 226016 252013 237013
244013 255011 236011 235020 307011 233018
234012 065004 131019 124020 113015 091028
113020 100023 ////// 166013 136008 324011.
268007 306009 261009 233008 207009 220009
227011 223015 233014 244016 237013 235018
253012 183005 016005 190030 203038 092010
202036 216037 213027 144016 273016 235017.
224019 249015 246010 292011 231010 243017
232018 233017 223018 190009 228010 234015
207015 266024 087014 103005 185019 203026
////// 196040 202037 230013 278017 246019.
228018 238013 237014 240016 232018 247013
236016 263010 246017 226019 243017 242019
202012 074009 085015 101040 177031 224040
211049 251048 192052 181029 215028 184039.
154035 098020 154035 196031 213038 281007
220016 PPC000 207014 172007 120017 115008
301007 101005 242011 194012 095008 145013
249007 235017 111017 101018 130012 124006.
051008 203008 189004 237007 280004 313021
330022 312024 330022 002015 341012 359016
034011 051026 354006 315020 302027 318025
323011 328025 329022 330018 297009 333015.
317008 217007 241006 318006 324012 356005
298007 344007 307015 345007 123009 116009
098016 121019 092019 079021 121012 115022
173037 195024 094024 106027 091020 087016.
138010 128006 240004 008041 319018 322021
320019 323019 263023 327013 012035 323024
011024 016030 260035 338034 273026 345025
263024 281027 279020 316012 299009 323016.
////// 236008 ////// 217015 227024 257017
226018 220014 ////// ////// ////// //////
////// 242004 359004 192049 189046 198016
196018 216012 205020 196024 193021 218020.
213028 214032 227019 284013 217018 239014
261013 237017 240020 222022 222025 237018
225021 271005 054015 282028 274045 273033
265032 347038 012035 025026 359022 332015.
307014 253007 213012 235013 221008 182006
295020 290013 242012 205006 194007 234011
223015 103006 349006 051011 280019 //////
277015 110010 193035 177035 147022 292013.
304008 256010 296017 ////// 275024 283023
280036 275039 288040 278035 315015 292025
272027 ////// 330013 193045 204044 207049
////// 233040 241041 ////// 184031 144027.
158024 054006 295014 301006 275033 311011
191021 222019 224018 225018 227013 220014
323006 335025 298039 306031 287032 246020
268031 277019 293007 258015 241012 230016.
248011 243016 246015 252008 253012 234015
268014 223007 210017 217022 244012 239011
////// 015006 008006 075015 089019 087026
090020 093020 113017 281015 280016 229018.
221019 239014 235017 236009 235014 230020
240013 257011 246010 223012 266010 244013
275007 079006 PPC000 208008 099019 151023
200034 226031 191041 193027 175036 183034.
200028 236035 240039 ////// 295013 253022
222007 229010 265011 228025 233013 219018
221020 129005 067014 111016 055022 356014
022011 257017 111018 170010 251010 277012.
232015 227012 228011 231017 236017 243018
223021 229016 240023 227016 213019 229014
242013 298006 PPC000 107010 096013 093018
095020 ////// 112022 122029 097018 119012=
041259 1358 060260 1425
050286 1155 072264 1310
044292 0417 068277 1624
057272 1254 088276 1302
026112 2052 037152 0131
038131 1347 044121 1338
021109 0644 030107 1953
089188 1310 109192 1305
032090 1547 051152 1703
023142 2017 034309 1933
047016 1446 080322 1435
067283 1235 109284 1218
056189 1608 073231 1531
036274 1546 050283 1520
030088 1409 038130 1343
055195 1532 073196 1446
053208 1628 061207 1556
061186 1946 095155 1945
050189 2002 082170 2014
038319 1211 056336 1211
041171 1535 069207 1412
044265 1104 068240 1249
054188 1157 077183 1155
056013 1639 077014 1637
045188 1821 055203 1820
074196 1215 091192 1213
045281 1126 072316 1212
031125 1330 042115 1328
056195 1438 071204 1438
047241 2247 086203 2243
030102 1755 037102 1718=
D=
K=
A=
S=
B=
??????
******
YF
O2186
河南省
豫栾川张盘
栾川县陶湾乡张盘村
山地；乡村；地面
空缺
计算机
计算机
计算机
计算机
计算机
20100309=
JY
8888=
GK
01/
05/=
BZ
