O2220 3418N 11233E 002941 002941 105 000 S15 91999999919999199999 0 2012 03
P=
TB
264013 332025 280016 298031 293043 312037
289069 291076 286062 294039 302043 298014.
314032 329029 341030 303041 298042 317029
301024 302032 306023 329043 333027 339023
328030 333038 327026 331027 344020 330037
341038 343033 013026 071013 078015 129011.
126037 111038 111030 116026 119022 186009
324005 113011 356008 025007 305012 304007
339019 309019 295027 300021 347013 247022
144034 142042 146048 144043 141044 141039.
117022 130024 076007 137012 108016 114030
131026 123034 136030 140030 116016 053004
063011 118013 164020 118041 081045 122039
110044 116040 148023 114032 089024 124020.
149019 121020 120036 112035 115026 120037
120034 121027 116025 122024 112027 078020
128036 130029 153031 093021 149017 186023
148029 140038 130038 122038 111041 112043.
112047 116042 125033 137029 142028 128024
146017 138017 268009 057013 269009 281013
347029 317036 328025 324040 304025 309016
206018 255019 239014 127026 055005 147020.
343014 098019 148019 126031 317009 291025
266009 096039 078035 128023 096028 095033
102026 135019 143022 066015 158024 143027
120036 125044 136055 138053 130051 128046.
136046 121043 123041 114034 143036 131023
122022 141018 319009 036005 043004 349003
225012 142022 135044 142040 124039 142037
134040 133035 126042 128035 123031 122029.
118037 133025 146020 131024 117026 093008
283017 337014 325009 352007 347025 341021
305020 022012 116021 132035 135052 132058
118067 125073 113065 115055 112058 122061.
122058 130054 131033 142043 149029 153021
135022 151027 140020 135015 124015 123026
133030 147027 176015 161020 134027 122060
116054 128052 134056 108036 088026 132031.
149028 127029 118037 113040 119041 126035
011011 086032 087028 078045 083037 337020
037016 030016 076023 011040 311032 298037
303039 320031 296026 296030 311019 //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
325037 331034 293034 303045 312050 328059
330048 326039 322033 339017 064011 PPC002.
129032 125032 137031 146024 124025 129029
123029 124029 114030 207010 PPC000 027008
322017 341011 134033 122048 134060 133059
119067 119066 121059 122064 117048 114051.
124044 124033 139020 152011 238015 351010
333014 000039 284014 291018 ////// 035010
126074 133062 128067 122061 136069 125059
106053 090060 093048 099047 101038 098041.
115040 102033 091041 084044 090037 086052
093028 350012 ////// ////// ////// //////
////// ////// ////// 126016 137020 //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
260016 289009 335020 351016 309017 301026
292022 296018 240016 140022 141031 143036.
121033 113039 097027 089029 116029 124028
114026 ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// 340023 339032
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 305102
297102 303133 303147 304134 300134 301124
309124 311112 304114 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 266012
340010 348017 324012 326023 263021 304028
300029 271025 311047 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
326020 359022 314020 325021 001018 023018
291017 070012 118030 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 321014
317017 288013 190007 311012 140026 129029
143037 140039 143049 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 354028
329030 334029 321027 328034 304022 335019
297017 150027 147044 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// PPC000
142010 139031 120046 132054 135064 138066
131074 134063 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// 318021 307027 300045 301066 297063
295061 295049 303036 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 300025
324019 139031 205025 340014 333052 336056
314099 306085 288058 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 335041
324037 307059 294070 296084 304066 307058
326040 321036 298011 ////// ////// //////=
037131 2057 048127 2048
060113 1154 070127 1127
044125 2345 066127 2338
039161 1629 049141 1550
080301 1532 098284 1639
047297 0010 060332 0556
050144 1719 065152 1709
056114 1450 076124 1435
046119 1843 063138 1502
048112 2058 060118 2200
060131 1812 076129 1805
052136 2032 065118 2026
078125 1605 100141 1602
