O2181 3421N 11113E 009810 009810 105 000 S15 91999999919999199999 0 2010 01
P=
TB
312035 175029 032027 008033 348022 043027
199017 022049 321014 302020 283043 284042
289045 273048 282044 263042 277030 260012.
252026 278042 272043 260046 281081 287062
288051 273043 279057 273045 279054 269040
277051 276059 274047 284060 287069 294068
////// 298046 354050 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 225025 259052 254049
218027 195028 239005 257010 119011 251014.
242027 272027 254050 256048 251028 247037
265041 263061 267062 258058 187008 243020
266029 ////// ////// ////// ////// //////
273044 254040 112016 148012 216012 258030.
055015 349006 254040 019018 216005 138014
024010 073020 055011 028013 022004 043022
065026 117023 108021 089019 097019 104022
108032 085033 ////// 071037 105019 054015.
048018 079025 074013 274009 215010 090008
109010 257021 244018 219012 256019 259037
116008 093012 210026 188028 135019 186024
119017 108023 097018 084019 058012 108008.
241016 248015 241014 245019 225006 268023
238017 204010 298010 289009 264016 263018
258014 196009 198021 180028 158028 109034
////// 087020 109024 041023 008007 273049.
333006 081008 028012 150005 278009 272020
280011 241011 280011 330007 302012 041023
045022 066026 060041 093034 109039 092057
090063 090069 087061 083055 064066 083051.
072042 079032 086028 036031 143008 118009
235015 261012 276008 022013 104009 257005
237017 230006 081019 107013 083017 112019
089018 071020 088017 052028 137006 293018.
240020 330011 255047 008019 295069 303058
291072 273048 297071 289052 287054 343032
272044 332024 351058 325062 308054 311055
309039 299032 340035 015015 320014 042014.
186030 194016 073012 200004 162010 243008
311013 154026 164009 PPC000 091004 PPC000
217012 170012 124017 098017 173018 108037
071047 092059 083047 085033 102026 129011.
196012 224014 001019 293026 226025 265027
244029 074018 298027 045044 152019 180027
322026 207026 273032 274067 271067 284060
283060 274029 267046 285022 262018 240024.
////// 257033 ////// 289013 275028 309030
029020 ////// ////// ////// ////// //////
////// 211017 199025 245031 270043 241035
261031 193018 221011 024007 247006 272016.
101005 248016 269028 262042 254047 250033
250032 265023 287040 254063 244018 249031
263016 079018 266062 259053 270075 264097
250066 257061 260051 279039 195018 249019.
179035 142013 019066 275018 353020 017025
016060 288016 180014 203010 179010 295009
260045 270039 276040 275041 274044 //////
215043 207024 330021 092016 041031 038036.
038021 057017 042017 348014 257013 233011
289017 294031 286027 278018 259031 265014
108005 ////// 161010 159016 101020 100031
