日期 平均温度(四次平均) 最高气温 出现时间 最低气温 出现时间
2010-01-01 2.975 16 14:17 -4 03:18
2010-01-02 2.8 14 15:54 -3 07:43
2010-01-03 4.4 15 15:28 -1 07:43
2010-01-04 0.975 5 14:01 -1 05:29
2010-01-05 -4.375 0 20:01 -7 07:08
2010-01-06 -5.725 1 15:08 -10 07:59
2010-01-07 -5.85 -2 16:58 -9 03:56
2010-01-08 -3.5 7 15:05 -9 06:38
2010-01-09 -4.3 0 16:04 -7 07:25
2010-01-10 -3.025 3 15:18 -8 07:35
2010-01-11 -0.95 3 12:57 -4 03:26
2010-01-12 -0.7 6 14:25 -7 07:39
2010-01-13 0.45 6 14:28 -3 19:52
2010-01-14 -2.9 14 14:47 -7 01:31
2010-01-15 -1.375 5 14:46 -6 05:23
2010-01-16 -0.75 11 14:06 -7 07:16
2010-01-17 2.5 15 14:48 -4 07:30
2010-01-18 4.075 14 13:41 -3 06:33
2010-01-19 6.6 12 15:11 3 08:15
2010-01-20 4.35 7 02:34 0 19:00
2010-01-21 0.725 4 12:48 0 08:00
2010-01-22 -0.625 3 15:09 -2 19:26
2010-01-23 -0.9 3 15:59 -8 04:06
2010-01-24 1.075 9 13:34 -4 07:23
2010-01-25 -0.425 7 15:46 -5 06:48
2010-01-26 1.375 8 13:19 -3 01:41
2010-01-27 3.325 13 15:19 -1 03:34
2010-01-28 2.475 11 14:41 -1 00:10
2010-01-29 3.05 9 14:09 -2 07:17
2010-01-30 4.35 12 14:50 -2 07:51
2010-01-31 1.825 6 13:40 -2 06:29
2010-02-01 0.45 8 14:46 -4 05:59
2010-02-02 0.475 8 14:09 -5 07:31
2010-02-03 0.55 7 14:30 -3 00:17
2010-02-04 0.25 8 12:14 -3 07:48
2010-02-05 -0.3 8 16:00 -5 06:20
2010-02-06 -0.875 0 13:26 -1 07:00
2010-02-07 0 5 15:15 -2 02:48
2010-02-08 1.6 4 16:09 0 03:08
2010-02-09 0.15 2 20:01 0 19:32
2010-02-10 -3.1 0 20:01 -5 19:36
2010-02-11 -6.3 -3 15:10 -8 06:53
2010-02-12 -2.375 3 14:22 -7 22:37
2010-02-13 -2.7 0 14:24 -4 07:02
2010-02-14 -2.5 1 14:49 -5 04:56
2010-02-15 -2.7 0 15:10 -4 07:16
2010-02-16 -3.45 0 13:29 -7 04:31
2010-02-17 -3.65 1 15:38 -7 02:25
2010-02-18 -3.825 6 14:31 -10 06:53
2010-02-19 0.05 12 15:14 -8 07:02
2010-02-20 3.275 15 12:30 -4 06:46
2010-02-21 6.525 19 14:06 -1 04:48
2010-02-22 6.8 17 13:55 0 03:10
2010-02-23 8.75 18 12:30 1 23:31
2010-02-24 8.5 18 13:26 2 07:16
2010-02-25 8.375 17 14:16 3 07:14
2010-02-26 7.225 13 15:31 3 23:57
2010-02-27 9.675 16 13:07 4 07:10
2010-02-28 3.1 13 20:01 2 03:54
2010-03-01 0.525 2 20:03 -1 19:43
2010-03-02 2.25 5 13:13 -1 20:06
2010-03-03 -0.125 1 13:14 0 19:00
2010-03-04 2.15 7 15:50 -1 22:38
2010-03-05 1.225 4 20:01 -1 19:04
2010-03-06 -1.85 1 14:21 -4 07:34
2010-03-07 -0.8 1 14:33 -2 02:47
2010-03-08 -1.275 1 12:51 -2 04:25
2010-03-09 -2.975 0 15:41 -6 07:19
2010-03-10 -0.075 12 14:13 -9 06:43
2010-03-11 4.375 20 12:43 -1 04:19
2010-03-12 8.825 24 13:50 11 19:48
2010-03-13 6.4 12 13:53 1 06:53
2010-03-14 4.4 7 20:03 2 06:48
2010-03-15 5.625 10 16:10 1 06:54
2010-03-16 7.55 17 16:15 -2 05:38
2010-03-17 11.4 20 14:07 3 00:59
2010-03-18 11.225 23 15:47 2 06:29
2010-03-19 15.65 30 14:21 5 03:58
2010-03-20 12.275 18 00:44 7 19:57
2010-03-21 9.475 16 15:29 3 00:52
2010-03-22 6.05 12 20:01 0 19:26
2010-03-23 2.3 5 14:18 0 04:28
2010-03-24 3.825 9 11:56 2 04:09
2010-03-25 2.925 9 15:50 -1 03:11
2010-03-26 5.9 15 13:57 -3 04:57
2010-03-27 9.625 18 16:19 2 06:50
2010-03-28 8.5 18 15:07 0 06:34
2010-03-29 8.85 12 08:18 5 19:30
2010-03-30 7.575 12 17:16 4 03:45
2010-03-31 7.15 14 11:43 2 04:53
2010-04-01 7.45 12 15:51 5 01:28
2010-04-02 7.95 17 15:40 0 06:48
2010-04-03 9.95 17 12:42 3 05:20
2010-04-04 12.6 23 14:11 3 03:58
2010-04-05 14.6 24 13:27 5 06:11
2010-04-06 12.85 17 23:33 9 06:53
2010-04-07 8.675 14 14:37 3 06:27
2010-04-08 11.275 20 13:56 2 06:22
2010-04-09 13.875 24 14:45 4 06:16
2010-04-10 8.75 16 20:02 6 19:05
2010-04-11 6.5 7 15:16 5 09:08
2010-04-12 5.3 9 07:59 2 19:28
2010-04-13 4.075 6 12:09 1 04:51
2010-04-14 0.85 4 20:08 -1 06:54
2010-04-15 6.125 15 16:05 0 02:21
2010-04-16 13 24 14:48 2 06:08
2010-04-17 12.05 21 14:33 4 05:11
2010-04-18 13.85 19 14:37 9 06:09
2010-04-19 16.225 23 14:47 9 06:02
2010-04-20 12 16 20:01 9 19:58
2010-04-21 7.675 10 20:59 5 19:59
2010-04-22 10.025 17 14:34 5 03:22
2010-04-23 11.175 19 14:06 2 05:49
2010-04-24 10.05 18 14:23 5 06:04
