日期 平均温度(四次平均) 最高气温 出现时间 最低气温 出现时间
2010-01-01 2.625 15 15:00 -4 05:00
2010-01-02 0.475 11 13:00 0 05:00
2010-01-03 -2.9 0 16:00 -4 05:00
2010-01-04 -2.45 3 14:00 -5 08:00
2010-01-05 -3.475 -4 13:00 -7 07:00
2010-01-06 -0.15 0 14:00 -4 10:00
2010-01-07 -2.25 -3 16:17 -8 06:00
2010-01-08 -5.9 0 13:08 -8 01:59
2010-01-09 -5.025 -1 13:48 -8 03:25
2010-01-10 -2.65 1 14:38 -4 07:23
2010-01-11 -1.325 5 13:07 -6 04:15
2010-01-12 -0.05 7 12:40 -4 01:44
2010-01-13 0.575 4 14:56 -1 19:41
2010-01-14 -1.95 12 15:15 -8 07:34
2010-01-15 0.575 4 14:01 -3 07:23
2010-01-16 -0.05 7 15:46 -7 04:25
2010-01-17 1.35 11 14:39 -5 06:32
2010-01-18 2.325 8 14:17 -3 06:31
2010-01-19 2.7 6 21:20 1 07:00
2010-01-20 4.175 8 11:25 1 20:00
2010-01-21 -0.95 1 21:00 -1 08:00
2010-01-22 -0.775 4 13:22 -4 07:52
2010-01-23 0.275 4 14:29 -5 01:01
2010-01-24 1.475 9 15:20 -4 05:40
2010-01-25 0.725 6 15:22 -4 07:11
2010-01-26 3.125 8 14:40 -1 20:45
2010-01-27 4.55 12 15:05 -1 05:01
2010-01-28 4.725 13 14:55 0 00:21
2010-01-29 3.525 9 14:46 -2 08:15
2010-01-30 5.325 12 15:18 0 04:50
2010-01-31 4.125 9 13:24 -1 06:15
2010-02-01 1.625 8 16:09 -3 05:52
2010-02-02 1.125 6 14:45 -2 07:23
2010-02-03 -0.1 5 15:44 -3 07:32
2010-02-04 1.95 8 14:39 -3 07:02
2010-02-05 0.35 4 20:01 -3 04:23
2010-02-06 -1.375 1 21:00 -2 10:00
2010-02-07 0.275 3 15:20 -1 05:29
2010-02-08 2.2 4 14:22 0 00:59
2010-02-09 1.075 2 20:01 0 18:55
2010-02-10 -2.375 0 20:11 -4 19:33
2010-02-11 -4.925 -1 15:32 -6 07:39
2010-02-12 -2.25 2 11:50 -6 20:40
2010-02-13 -2.025 0 12:53 -3 23:59
2010-02-14 -1.9 1 13:18 -5 08:12
2010-02-15 -2.65 0 20:01 -3 04:29
2010-02-16 -2.075 2 13:23 -5 02:24
2010-02-17 0.05 4 14:52 -2 23:01
2010-02-18 -0.15 7 15:01 -6 07:44
2010-02-19 3.875 13 15:55 -3 05:07
2010-02-20 7.05 19 14:33 -2 06:50
2010-02-21 10.25 21 14:53 1 06:26
2010-02-22 9.375 18 15:31 1 07:04
2010-02-23 12.375 19 15:07 3 06:36
2010-02-24 12.975 18 14:37 7 03:56
2010-02-25 10.125 15 13:38 7 04:41
2010-02-26 7.075 13 14:40 1 07:04
2010-02-27 7.375 12 14:12 4 05:06
2010-02-28 3.25 7 20:01 0 15:50
2010-03-01 -0.125 1 22:06 -1 07:34
2010-03-02 3.325 8 13:50 0 01:09
2010-03-03 2.9 4 14:21 1 10:46
2010-03-04 3.675 8 16:02 0 07:11
2010-03-05 2.1 5 09:14 -1 18:27
2010-03-06 0.5 3 15:00 -1 04:43
2010-03-07 0.9 3 15:07 -1 07:16
2010-03-08 -0.125 2 20:01 0 08:40
2010-03-09 -1.025 3 16:00 -3 07:10
2010-03-10 3.125 12 15:50 -7 06:48
2010-03-11 7.1 20 14:40 0 07:05
2010-03-12 8.25 19 14:32 13 19:58
2010-03-13 8.8 13 20:01 6 07:03
2010-03-14 5.65 8 20:11 2 12:39
2010-03-15 8.625 14 14:33 5 03:46
2010-03-16 9.6 18 16:25 1 03:11
2010-03-17 10.875 19 12:48 5 02:32
2010-03-18 7.95 13 14:10 4 07:33
2010-03-19 14.7 30 15:10 3 06:45
2010-03-20 13.55 22 20:01 9 19:59
2010-03-21 10.975 16 15:20 5 02:51
2010-03-22 8.25 12 10:25 6 05:03
2010-03-23 7.85 10 16:03 5 06:50
2010-03-24 7.5 12 12:33 4 06:56
2010-03-25 6.85 12 15:02 1 03:13
2010-03-26 8.525 15 13:05 0 23:59
2010-03-27 13.025 21 14:00 5 05:36
2010-03-28 10.225 16 15:39 4 06:15
2010-03-29 11.25 14 12:26 9 19:26
2010-03-30 10.975 15 15:34 8 05:22
2010-03-31 11.85 19 11:54 5 06:40
2010-04-01 10.8 16 13:47 7 06:20
2010-04-02 11.5 19 15:32 2 07:05
2010-04-03 13.925 19 14:19 8 06:29
2010-04-04 15.975 26 16:05 7 04:30
2010-04-05 19.225 28 14:18 8 06:30
2010-04-06 12.4 21 22:46 8 07:25
2010-04-07 11.025 15 13:51 4 05:42
2010-04-08 10.325 21 12:34 7 03:55
2010-04-09 16.1 22 12:53 8 06:15
2010-04-10 11.975 16 20:01 10 19:30
2010-04-11 8.475 10 20:07 7 19:14
2010-04-12 7.325 9 11:04 6 19:54
2010-04-13 5.05 10 11:08 0 01:44
2010-04-14 3.125 6 15:00 0 06:05
2010-04-15 6.9 15 14:46 0 01:50
2010-04-16 13.45 23 13:51 5 05:45
2010-04-17 13.625 19 16:25 9 06:08
2010-04-18 16.425 23 13:56 10 06:03
2010-04-19 15.65 22 12:56 9 06:17
2010-04-20 12.325 17 20:01 9 19:58
2010-04-21 9.55 12 15:19 8 11:41
2010-04-22 11.8 18 12:20 7 05:06
2010-04-23 13.075 21 15:22 3 04:55
2010-04-24 12.65 21 15:09 11 06:44
2010-04-25 12.775 17 11:48 11 05:34
2010-04-26 13.925 20 13:52 5 06:00
2010-04-27 15.275 22 14:02 6 05:52
2010-04-28 13.975 19 21:44 11 06:00
2010-04-29 16.4 25 16:10 6 05:56
2010-04-30 17.475 27 17:35 8 03:31
2010-05-01 20.625 32 16:14 9 04:37
2010-05-02 26.075 35 13:59 15 06:09
2010-05-03 25.325 30 12:28 20 05:23
2010-05-04 21.55 26 20:02 18 18:54
2010-05-05 19.45 23 14:09 16 04:32
2010-05-06 19.225 26 16:15 13 05:11
2010-05-07 21.125 29 14:24 10 05:23
2010-05-08 19.55 25 13:34 16 04:59
2010-05-09 16.6 22 13:44 9 05:10
2010-05-10 16.975 27 15:36 5 05:39
2010-05-11 18.25 25 15:06 10 02:02
2010-05-12 16.025 19 20:01 13 05:14
2010-05-13 16.5 21 15:21 12 03:29
2010-05-14 17.775 22 15:18 11 05:56
2010-05-15 17.425 23 14:05 11 05:30
2010-05-16 15.45 17 20:06 14 03:43
2010-05-17 17.3 21 13:31 14 03:10
2010-05-18 17.05 22 14:16 13 06:02
2010-05-19 20.95 30 15:29 9 05:00
2010-05-20 20.3 29 13:04 11 05:19
2010-05-21 17.1 22 20:02 14 19:20
2010-05-22 18.25 25 14:23 13 03:49
2010-05-23 20.6 27 14:25 13 05:53
2010-05-24 25.4 35 13:43 15 05:05
2010-05-25 24.1 29 14:06 20 05:21
2010-05-26 20.275 23 20:01 18 19:29
2010-05-27 17.35 18 20:03 16 19:23
2010-05-28 19.75 26 16:37 15 02:23
2010-05-29 23.675 32 14:53 15 05:59
2010-05-30 25.075 33 14:38 18 05:40
2010-05-31 23.55 28 13:27 20 01:44
2010-06-01 19.7 23 20:01 17 01:01
2010-06-02 21.75 29 15:42 14 05:58
2010-06-03 20.325 25 12:23 16 04:41
2010-06-04 21.05 26 14:01 18 04:20
2010-06-05 22.35 28 14:41 14 05:48
2010-06-06 23.25 29 14:31 17 04:40
2010-06-07 21.375 24 10:21 18 05:35
2010-06-08 18.35 21 14:41 17 05:31
2010-06-09 16.75 20 16:59 14 03:28
2010-06-10 20.025 26 15:28 14 04:34
2010-06-11 23.15 30 16:35 15 06:11
2010-06-12 24.325 31 15:38 17 05:05
2010-06-13 25.75 32 14:55 15 05:54
2010-06-14 26.45 34 16:30 18 04:07
2010-06-15 27.95 35 14:00 18 05:17
2010-06-16 27.925 33 13:41 21 05:44
2010-06-17 29.175 38 14:07 20 05:33
2010-06-18 26.9 37 16:25 20 02:19
2010-06-19 27.075 33 15:38 20 05:23
2010-06-20 20.45 36 13:48 21 03:49
2010-06-21 28 36 13:29 19 04:57
2010-06-22 30.5 38 14:27 23 05:49
2010-06-23 26.85 31 13:24 22 04:15
2010-06-24 26.125 31 15:09 20 05:19
2010-06-25 25.725 32 13:53 20 04:41
2010-06-26 26.3 33 14:40 20 04:41
2010-06-27 28.2 34 15:20 20 05:37
2010-06-28 29.45 37 13:57 19 05:28
2010-06-29 30.4 36 15:23 24 04:41
2010-06-30 31.225 37 14:58 27 05:26
2010-07-01 29.85 35 15:39 25 05:36
2010-07-02 29.025 34 14:32 25 05:35
2010-07-03 25.45 29 20:01 23 09:30
2010-07-04 29.2 35 14:23 22 03:58
2010-07-05 30.2 35 14:25 25 05:51
2010-07-06 30.8 39 14:36 21 04:37
2010-07-07 31.3 36 12:56 25 02:27
2010-07-08 25.275 31 20:01 21 09:01
2010-07-09 25.6 31 13:25 21 04:22
2010-07-10 23.925 29 16:30 20 03:59
2010-07-11 25.125 29 15:23 21 05:14
2010-07-12 26.475 32 15:47 21 04:59
2010-07-13 26.65 30 14:20 23 04:38
2010-07-14 27.225 32 15:51 22 05:22
2010-07-15 23.175 28 20:01 20 17:39
2010-07-16 22.75 27 15:55 20 04:19
2010-07-17 23.55 25 15:23 23 05:09
2010-07-18 23.325 26 14:19 19 05:16
2010-07-19 23.025 28 15:44 19 08:28
2010-07-20 25.075 30 15:10 21 06:15
2010-07-21 26.85 32 14:11 20 05:08
2010-07-22 26.7 32 14:37 23 05:53
2010-07-23 18 27 10:39 22 16:40
2010-07-24 22.95 26 14:21 21 01:35
2010-07-25 24.325 27 11:54 21 05:20
2010-07-26 26.125 32 13:39 21 06:02
2010-07-27 27.4 32 13:36 23 05:49
2010-07-28 28.85 33 13:34 25 06:00
2010-07-29 30 35 15:21 25 06:01
2010-07-30 30.8 35 12:05 26 06:05
2010-07-31 30.65 34 15:16 27 05:27
2010-08-01 27.6 31 14:39 25 20:00
2010-08-02 24.5 28 16:24 22 06:00
2010-08-03 28.425 34 15:29 24 05:49
2010-08-04 31.475 36 17:03 26 05:10
2010-08-05 27.8 33 13:46 24 05:23
2010-08-06 26.725 30 12:52 22 04:31
2010-08-07 25.175 29 15:25 22 01:31
2010-08-08 28.075 34 14:09 22 06:15
2010-08-09 29.175 34 13:33 25 06:01
2010-08-10 26.725 31 12:40 24 04:06
2010-08-11 26.925 31 13:32 23 05:53
2010-08-12 26.975 30 16:27 24 06:25
2010-08-13 27.2 32 12:11 23 18:39
2010-08-14 24.45 26 13:46 22 06:23
