日期 平均温度(四次平均) 最高气温 出现时间 最低气温 出现时间
2008-01-01 0 0 //:// 0 //://
2008-01-02 0 0 //:// 0 //://
2008-01-03 0 0 //:// 0 //://
2008-01-04 0 0 //:// 0 //://
2008-01-05 0 0 //:// 0 //://
2008-01-06 0 0 //:// 0 //://
2008-01-07 0 0 //:// 0 //://
2008-01-08 0 0 //:// 0 //://
2008-01-09 0 0 //:// 0 //://
2008-01-10 0 0 //:// 0 //://
2008-01-11 0 0 //:// 0 //://
2008-01-12 0 0 //:// 0 //://
2008-01-13 0 0 //:// 0 //://
2008-01-14 0 0 //:// 0 //://
2008-01-15 0 0 //:// 0 //://
2008-01-16 -2.075 0 12:05 -6 19:45
2008-01-17 -5.3 1 14:58 -10 08:09
2008-01-18 -4.575 -2 12:58 -5 19:40
2008-01-19 -5.7 -3 12:11 -6 04:15
2008-01-20 -4.95 0 13:20 -7 06:15
2008-01-21 -2.1 0 12:10 -5 21:30
2008-01-22 -0.55 2 13:02 -6 21:43
2008-01-23 -6.875 -1 11:30 -10 07:53
2008-01-24 -8.375 0 14:42 -14 02:14
2008-01-25 -5.525 -2 12:51 -7 20:01
2008-01-26 -4.825 1 13:12 -8 02:39
2008-01-27 -6.05 -3 10:48 -6 19:56
2008-01-28 -4.65 1 14:07 -7 03:58
2008-01-29 -6.55 3 13:59 -14 07:32
2008-01-30 -4 3 14:52 -7 07:44
2008-01-31 -6.45 4 13:06 -14 07:20
2008-02-01 -2.725 4 14:01 -6 07:43
2008-02-02 -4.825 7 15:05 -13 06:53
2008-02-03 -4 8 13:58 -12 07:40
2008-02-04 -2.925 7 13:37 -10 07:12
2008-02-05 -2.45 5 15:36 -8 07:26
2008-02-06 -4.35 5 14:12 -11 07:20
2008-02-07 -3 6 15:00 -10 07:26
2008-02-08 -3.925 0 15:26 -7 06:54
2008-02-09 -5.125 6 15:08 -13 06:55
2008-02-10 -2.575 7 15:39 -8 02:17
2008-02-11 -1.275 6 14:34 -6 01:17
2008-02-12 -2.15 6 15:41 -6 05:42
2008-02-13 -3.15 7 15:02 -10 07:03
2008-02-14 -1.25 10 15:30 -8 06:53
2008-02-15 -0.25 10 14:14 -7 07:02
2008-02-16 1.125 11 15:10 -3 07:07
2008-02-17 -0.125 6 12:35 -4 04:10
2008-02-18 2.225 9 14:31 -2 04:10
2008-02-19 3 13 15:30 -4 07:37
2008-02-20 2.525 16 14:34 -6 07:12
2008-02-21 4.6 19 13:50 -5 07:08
2008-02-22 5.275 19 14:28 -3 07:04
2008-02-23 3.175 11 13:55 -2 07:13
2008-02-24 -1.65 3 20:01 -4 19:30
2008-02-25 -0.8 7 13:27 -7 03:31
2008-02-26 2.475 8 15:34 0 19:54
2008-02-27 1.25 14 16:00 -8 07:05
2008-02-28 3.175 15 14:06 -5 05:47
2008-02-29 5.3 20 15:28 -4 07:10
2008-03-01 7.225 16 14:35 -1 05:15
2008-03-02 5.4 13 15:07 -1 04:08
2008-03-03 3.925 17 16:13 -5 06:38
2008-03-04 5.7 19 15:29 -4 06:55
2008-03-05 7.15 18 14:34 0 01:44
2008-03-06 5.7 10 20:01 3 19:51
2008-03-07 4.3 15 15:09 -1 07:45
2008-03-08 8.325 18 14:25 0 06:45
2008-03-09 8.4 21 16:03 0 07:18
2008-03-10 10.275 26 14:43 0 //://
2008-03-11 12.525 26 15:57 1 06:10
2008-03-12 10.375 17 11:17 6 06:49
2008-03-13 8.65 20 12:49 0 06:34
2008-03-14 10.725 23 12:43 0 06:16
2008-03-15 11.475 23 14:43 2 06:41
2008-03-16 9.9 18 12:22 3 06:18
2008-03-17 11.425 23 11:51 1 06:45
2008-03-18 13.85 26 12:40 3 06:54
2008-03-19 8.6 17 20:01 5 19:52
2008-03-20 7.275 12 14:28 5 23:45
