日期 平均温度(四次平均) 最高气温 出现时间 最低气温 出现时间
2010-01-01 4.55 16 14:27 -3 07:08
2010-01-02 1.9 8 13:56 -1 07:28
2010-01-03 -0.85 2 14:13 -2 02:28
2010-01-04 -1.825 4 14:39 -3 02:58
2010-01-05 -3.075 -1 14:06 -6 07:23
2010-01-06 -3.55 0 15:21 -7 07:51
2010-01-07 -2.925 -2 15:39 -6 07:33
2010-01-08 -4.45 0 14:49 -7 07:53
2010-01-09 -3.675 0 13:18 -6 05:03
2010-01-10 -0.725 2 14:38 -2 07:33
2010-01-11 -0.85 4 15:31 -4 03:26
2010-01-12 1.275 8 11:41 -3 01:24
2010-01-13 1.475 5 15:10 0 11:37
2010-01-14 -1.575 11 15:00 -5 06:00
2010-01-15 1.525 5 14:46 -2 05:45
2010-01-16 -1.3 6 15:37 -6 06:44
2010-01-17 0.525 10 16:02 -4 06:44
2010-01-18 1.625 7 14:37 -3 07:44
2010-01-19 4 4 01:10 2 09:24
2010-01-20 5.6 10 10:53 2 04:27
2010-01-21 0.875 3 21:00 0 09:58
2010-01-22 1.75 6 14:16 -2 04:52
2010-01-23 1.325 6 15:22 -3 03:49
2010-01-24 4.05 11 14:37 -2 03:56
2010-01-25 3.975 8 15:07 -1 07:39
2010-01-26 1.125 6 14:44 -2 06:20
2010-01-27 8.1 14 15:37 1 20:35
2010-01-28 5.725 13 15:32 1 08:06
2010-01-29 4.825 10 16:33 0 07:26
2010-01-30 8.525 14 14:04 2 04:49
2010-01-31 5.525 10 20:01 0 07:38
2010-02-01 3.825 12 15:33 0 07:13
2010-02-02 2.55 6 14:43 0 07:30
2010-02-03 1.2 5 15:20 -1 06:44
2010-02-04 1.9 7 14:14 -2 07:32
2010-02-05 1.4 4 20:26 0 00:12
2010-02-06 0.175 2 21:00 -1 10:56
2010-02-07 1.225 2 16:45 0 22:24
2010-02-08 3.2 5 14:18 2 04:08
2010-02-09 2.425 3 20:29 1 01:18
2010-02-10 -0.575 2 21:09 -2 19:52
2010-02-11 -2.25 0 15:18 -3 02:57
2010-02-12 -0.425 3 15:03 -3 00:06
2010-02-13 -0.15 2 12:24 -2 06:49
2010-02-14 1.1 4 13:27 -1 07:31
2010-02-15 -0.225 2 20:01 -1 08:41
2010-02-16 0.7 5 16:43 -2 01:56
2010-02-17 3.25 6 15:46 0 05:57
2010-02-18 3.425 10 16:02 -2 06:54
2010-02-19 5.775 16 16:41 -2 06:41
2010-02-20 8.525 21 15:30 -1 07:11
2010-02-21 10.7 21 14:41 1 06:25
2010-02-22 9.325 19 16:13 3 07:04
2010-02-23 11.025 20 14:46 3 06:57
2010-02-24 12 18 15:33 6 05:01
2010-02-25 11.3 16 13:47 7 07:00
2010-02-26 8.7 13 14:08 4 06:10
2010-02-27 7.775 11 15:34 5 06:46
2010-02-28 4.1 7 01:58 2 14:49
2010-03-01 1.85 3 16:01 0 07:58
2010-03-02 5.575 10 16:00 2 00:36
2010-03-03 4.825 7 20:01 3 11:38
2010-03-04 5.8 9 16:04 3 04:33
2010-03-05 3.6 7 20:01 1 16:21
2010-03-06 2.825 5 14:24 0 05:52
2010-03-07 3.05 6 14:02 0 07:40
2010-03-08 1.05 4 20:01 0 08:28
2010-03-09 1.875 6 15:02 0 06:49
2010-03-10 6.525 16 16:25 -2 06:12
2010-03-11 7.375 21 14:30 1 05:29
2010-03-12 8.875 20 13:59 15 19:56
2010-03-13 10.2 15 20:02 8 10:02
2010-03-14 7.4 10 18:49 4 10:34
2010-03-15 10.45 16 13:23 6 03:42
2010-03-16 9.25 19 16:30 1 06:03
2010-03-17 11.125 16 14:17 7 01:32
2010-03-18 8.2 11 15:57 5 08:46
2010-03-19 14.775 33 15:52 5 02:03
2010-03-20 16.25 22 00:25 14 08:22
2010-03-21 11.075 15 15:31 8 05:13
2010-03-22 11.3 13 16:18 9 11:04
2010-03-23 10.675 13 15:09 8 05:43
2010-03-24 11.475 15 12:15 7 05:18
2010-03-25 10.75 16 13:54 7 01:52
2010-03-26 9.5 16 16:24 0 06:31
2010-03-27 15.7 24 15:49 8 06:40
2010-03-28 12.05 17 15:05 6 06:18
2010-03-29 11.675 13 11:15 10 23:38
2010-03-30 12.375 16 14:52 9 03:43
2010-03-31 13.425 19 12:39 7 05:49
2010-04-01 14.4 19 14:49 10 04:07
2010-04-02 13.75 21 16:21 5 06:30
2010-04-03 14.25 22 16:05 7 06:10
2010-04-04 17.425 27 15:21 8 06:29
2010-04-05 20 30 14:55 11 06:31
2010-04-06 13.975 22 20:02 10 06:43
2010-04-07 13.15 18 14:19 7 05:59
2010-04-08 16.55 25 14:44 9 05:56
2010-04-09 16.65 22 13:56 9 06:15
2010-04-10 14.1 18 20:16 12 19:16
2010-04-11 10.225 12 20:01 9 09:25
2010-04-12 10.025 12 14:12 8 06:21
2010-04-13 7.825 12 12:39 1 06:02
2010-04-14 5.525 9 12:42 0 05:59
2010-04-15 9.6 18 15:53 3 02:55
2010-04-16 14.425 24 15:09 5 05:42
2010-04-17 15.35 20 15:57 11 06:00
2010-04-18 18.15 23 14:18 13 05:06
2010-04-19 16.825 20 12:17 12 03:54
2010-04-20 13.775 17 20:17 11 18:44
2010-04-21 10.7 12 14:14 9 09:56
2010-04-22 13.025 22 15:18 8 05:23
2010-04-23 14.9 22 16:38 6 05:18
2010-04-24 13.45 22 14:43 9 05:54
2010-04-25 15 19 20:12 13 06:09
2010-04-26 16.4 23 13:09 9 06:02
2010-04-27 17.925 26 13:46 8 04:47
2010-04-28 16.95 21 22:09 12 05:39
2010-04-29 17.05 27 15:38 7 05:59
2010-04-30 19.025 27 15:51 9 05:47
2010-05-01 22.375 33 15:12 11 05:23
2010-05-02 26.4 37 14:38 16 03:53
2010-05-03 26.375 31 13:41 18 05:40
2010-05-04 22.325 27 20:20 20 19:48
2010-05-05 22.1 26 17:22 18 04:14
2010-05-06 22.075 28 15:05 17 05:25
2010-05-07 23.05 32 14:03 14 06:13
2010-05-08 21.65 27 15:55 19 06:06
2010-05-09 19.35 25 13:18 13 05:13
2010-05-10 20.125 30 16:25 10 05:35
2010-05-11 20.8 27 15:32 12 05:33
2010-05-12 17 20 20:01 14 19:59
2010-05-13 17.95 22 13:23 14 03:06
2010-05-14 19.7 24 13:09 13 05:18
2010-05-15 19.925 25 15:26 12 05:48
2010-05-16 16.95 20 20:01 16 18:19
2010-05-17 19.8 26 15:22 15 05:35
2010-05-18 20.025 25 16:30 16 05:55
2010-05-19 22.525 32 14:34 12 04:45
2010-05-20 23 31 13:36 13 05:03
2010-05-21 19.4 25 20:10 18 19:55
2010-05-22 21.85 29 14:30 16 04:05
2010-05-23 23.4 30 14:44 16 05:24
2010-05-24 26.575 36 16:00 18 04:58
2010-05-25 26.025 31 14:51 21 05:22
2010-05-26 21.525 26 20:05 20 19:55
2010-05-27 17.95 20 21:44 16 18:28
